Principal Components Analysis
Call: principal(r = fl17_facs, nfactors = 10, rotate = "varimax")
Standardized loadings (pattern matrix) based upon correlation matrix
              RC4   RC2  RC10   RC1   RC7   RC6   RC3   RC8   RC9   RC5   h2
sc.hw_4      0.46 -0.46 -0.06  0.02  0.07  0.09 -0.12  0.06 -0.09  0.09 0.48
sc.hw_5R    -0.16  0.54  0.02 -0.11 -0.06 -0.10  0.03  0.10  0.12 -0.25 0.43
sc.hw_6R    -0.18  0.65  0.15 -0.01 -0.07  0.00  0.22  0.09  0.13 -0.02 0.55
sc.hw_7R    -0.10  0.68 -0.01 -0.04 -0.14 -0.02  0.04  0.06 -0.09 -0.08 0.52
sc.hw_8      0.16 -0.45  0.01  0.05  0.29  0.19 -0.11 -0.01 -0.11  0.27 0.44
sc.hw_9R    -0.27  0.47 -0.11 -0.12 -0.18 -0.11  0.07 -0.06 -0.04 -0.12 0.39
sc.hw_10R   -0.18  0.56 -0.05  0.01 -0.19 -0.21  0.08 -0.04 -0.03  0.02 0.44
dis_1R       0.29 -0.02  0.36  0.17  0.19  0.23  0.09 -0.12  0.04 -0.30 0.45
dis_2R      -0.18  0.24 -0.13  0.15 -0.07  0.02  0.06  0.18 -0.14  0.39 0.34
dis_3        0.22  0.07  0.17 -0.08  0.05  0.10  0.09 -0.02 -0.01 -0.19 0.15
dis_4R      -0.15  0.27 -0.19  0.00 -0.13  0.07  0.03  0.12 -0.06  0.39 0.32
dis_5       -0.21  0.20 -0.03 -0.04 -0.04 -0.03  0.10  0.18 -0.07  0.42 0.31
dis_6        0.13  0.01  0.31  0.35  0.10  0.05  0.21 -0.12 -0.02 -0.26 0.37
tfl_1        0.07 -0.15  0.27  0.57  0.28 -0.02  0.14 -0.06  0.10 -0.03 0.54
tfl_2        0.08 -0.03  0.37  0.45  0.16  0.10  0.15  0.12  0.07 -0.08 0.42
tfl_3        0.09 -0.04  0.12  0.34  0.26  0.51 -0.06  0.04  0.05  0.08 0.48
tfl_4        0.20 -0.02  0.15  0.39  0.03 -0.02 -0.05  0.33  0.12  0.29 0.42
tfl_5       -0.02  0.01  0.10  0.73  0.04  0.05  0.01 -0.02  0.06  0.10 0.56
tfl_6        0.13 -0.01  0.44  0.40  0.06 -0.03  0.04  0.09  0.12 -0.20 0.45
tfl_7       -0.02 -0.10  0.34  0.57  0.23  0.12  0.11 -0.03 -0.03  0.05 0.53
tfl_8        0.00 -0.03  0.25  0.63  0.02  0.18  0.10  0.10  0.06  0.06 0.52
tfl_9       -0.01  0.06  0.18  0.34  0.15  0.47 -0.07 -0.03  0.07  0.06 0.41
tfl_10       0.13 -0.08  0.20  0.50  0.01  0.09 -0.05  0.37  0.09  0.22 0.51
tfl_11       0.01  0.02  0.22  0.64  0.05  0.15  0.00  0.15  0.06  0.08 0.51
tfl_12       0.06 -0.12  0.51  0.40  0.12 -0.09  0.04  0.09  0.12 -0.12 0.49
tfl_13R     -0.06  0.23 -0.22 -0.62 -0.08  0.02 -0.12  0.01 -0.19  0.14 0.57
tfl_14      -0.01 -0.05  0.14  0.43  0.16  0.40  0.01  0.21 -0.02  0.02 0.44
tfl_15      -0.14 -0.07  0.15  0.18  0.18  0.48 -0.05  0.07  0.04 -0.03 0.35
tfl_16      -0.01 -0.05  0.20  0.59  0.13  0.07  0.00  0.25 -0.02  0.08 0.48
tfl_17      -0.05  0.02  0.12  0.71  0.11  0.07 -0.05  0.07  0.09  0.05 0.55
tfl_18      -0.01 -0.03  0.51  0.34  0.07 -0.06  0.08  0.07  0.11 -0.21 0.46
brs_1        0.37 -0.03  0.14  0.46  0.28 -0.01  0.10  0.19 -0.09 -0.22 0.56
