Principal Components Analysis
Call: principal(r = sp17_facs, nfactors = 10, rotate = "varimax")
Standardized loadings (pattern matrix) based upon correlation matrix
              RC1   RC2  RC10   RC3   RC4   RC7   RC5   RC9   RC8   RC6    h2
leadChal_11  0.58  0.12 -0.05 -0.12  0.16 -0.16  0.16  0.22  0.13 -0.08 0.522
leadChal_12  0.65  0.17  0.10 -0.12  0.11  0.06  0.11  0.05  0.02  0.16 0.539
leadChal_13  0.64  0.13  0.00 -0.05  0.19 -0.18  0.13  0.16  0.15 -0.06 0.564
sc.hw_1R    -0.01  0.00  0.13  0.54  0.01  0.11 -0.26 -0.14  0.22  0.01 0.459
sc.hw_2R    -0.03  0.07  0.06  0.57  0.01  0.07  0.03 -0.03  0.16 -0.03 0.369
sc.hw_3R    -0.25 -0.05 -0.05  0.45 -0.10 -0.09 -0.11 -0.07  0.18  0.01 0.337
sc.hw_4      0.15  0.30  0.20 -0.22 -0.06  0.11  0.36  0.05 -0.12 -0.07 0.371
sc.hw_5R    -0.04 -0.02 -0.17  0.43  0.04 -0.10 -0.28 -0.09  0.14  0.10 0.343
sc.hw_6R    -0.05 -0.19  0.08  0.33  0.11  0.12  0.04 -0.14  0.42  0.26 0.446
sc.hw_7R    -0.04 -0.13  0.04  0.57  0.04 -0.13 -0.23 -0.12  0.26 -0.12 0.522
sc.hw_8      0.12  0.06 -0.04 -0.26 -0.05 -0.06  0.36  0.14 -0.01  0.08 0.250
sc.hw_9R    -0.01 -0.21 -0.03  0.46 -0.11  0.01 -0.14 -0.23  0.28  0.02 0.424
sc.hw_10R   -0.02 -0.22 -0.02  0.41 -0.01  0.11 -0.18 -0.15  0.31 -0.12 0.393
dis_1R       0.43  0.25  0.17  0.10  0.02  0.06 -0.12  0.15 -0.12  0.18 0.370
dis_2R      -0.08 -0.32 -0.03  0.12 -0.12  0.03  0.10 -0.17  0.31  0.05 0.278
dis_3        0.08  0.09  0.18  0.03  0.02 -0.04  0.12 -0.12  0.05 -0.14 0.098
dis_4R      -0.15 -0.33  0.02  0.14  0.05  0.02  0.35 -0.12  0.29  0.10 0.387
dis_5       -0.29 -0.23 -0.22 -0.03  0.03 -0.15  0.17 -0.20  0.18  0.09 0.315
dis_6        0.39  0.16  0.07 -0.06 -0.06 -0.02 -0.11  0.17  0.07  0.04 0.241
tfl_1        0.54  0.08  0.41 -0.19  0.23  0.14 -0.14  0.17 -0.06  0.12 0.638
tfl_2        0.66  0.05  0.16 -0.03  0.22  0.18 -0.04  0.05 -0.08  0.01 0.564
tfl_3        0.54 -0.01  0.22 -0.03  0.18  0.10  0.23  0.04 -0.12 -0.05 0.459
tfl_4        0.32 -0.20  0.22  0.07  0.12  0.30  0.13 -0.19  0.01 -0.08 0.361
tfl_5        0.61 -0.06  0.24  0.08  0.19  0.29 -0.02 -0.09 -0.15 -0.07 0.601
tfl_6        0.65 -0.05  0.15 -0.04  0.14  0.34 -0.04  0.03 -0.21  0.02 0.624
tfl_7        0.56 -0.09  0.36 -0.07  0.16  0.15 -0.02  0.08 -0.01  0.15 0.539
tfl_8        0.58 -0.04  0.29  0.01  0.17  0.36  0.12  0.06 -0.19 -0.07 0.638
tfl_9        0.48 -0.06  0.24 -0.04  0.17  0.17  0.25  0.04 -0.10  0.18 0.451
tfl_10       0.30 -0.06  0.24  0.11  0.19  0.39  0.06 -0.08  0.03  0.25 0.425
tfl_11       0.51 -0.03  0.32  0.12  0.11  0.23  0.02 -0.07 -0.12  0.13 0.484
tfl_12       0.57 -0.04  0.25 -0.12  0.21  0.32 -0.11 -0.05 -0.21  0.16 0.636
tfl_13R     -0.25 -0.07 -0.28  0.28 -0.17 -0.08  0.19 -0.09  0.19 -0.05 0.338
tfl_14       0.43 -0.09  0.36  0.00  0.17  0.06  0.31  0.07 -0.19  0.14 0.517
tfl_15       0.45  0.02  0.27 -0.05  0.16  0.08  0.34  0.02 -0.25  0.20 0.530
tfl_16       0.32  0.10  0.62  0.15  0.00  0.20  0.19 -0.06 -0.13  0.01 0.609
tfl_17       0.49  0.09  0.33  0.17  0.02  0.20  0.04 -0.06 -0.33  0.01 0.538
tfl_18       0.56  0.05  0.33 -0.02  0.19  0.26 -0.10  0.02 -0.22  0.13 0.602
brs_1        0.40  0.14  0.33 -0.09 -0.05  0.11  0.06  0.11 -0.14 -0.08 0.354
brs_2       -0.14 -0.27 -0.20  0.27 -0.10 -0.03 -0.06 -0.17  0.35  0.12 0.386
brs_3        0.38  0.17  0.13 -0.12 -0.05 -0.16 -0.01 -0.01 -0.23 -0.16 0.312
brs_4       -0.21 -0.25 -0.26  0.32 -0.02  0.16 -0.12  0.04  0.34  0.02 0.432
brs_5        0.30  0.24  0.22 -0.06 -0.15 -0.15  0.05  0.05 -0.13 -0.09 0.273
brs_6       -0.21 -0.26 -0.18  0.28 -0.01  0.06  0.05  0.00  0.30  0.13 0.336
narc_1       0.15 -0.19 -0.05 -0.30  0.09 -0.01  0.14  0.22  0.09  0.13 0.253
narc_2       0.01  0.04 -0.13 -0.08  0.12  0.06  0.05 -0.01  0.00  0.03 0.045
narc_3      -0.01 -0.07  0.13  0.47 -0.01 -0.04 -0.01 -0.12  0.17  0.03 0.289
narc_4      -0.05 -0.10 -0.01  0.18 -0.23 -0.24  0.23  0.17  0.03  0.34 0.355
narc_5       0.16  0.02  0.08  0.02 -0.12  0.11  0.10  0.07  0.18  0.01 0.111
narc_6      -0.10 -0.13 -0.13  0.21 -0.05 -0.03  0.09 -0.35 -0.09  0.16 0.257
narc_7       0.07 -0.06 -0.09  0.05 -0.23 -0.16  0.18  0.16  0.06  0.12 0.175
narc_8       0.10  0.22  0.10 -0.05 -0.03  0.02  0.02  0.51  0.17 -0.14 0.378
narc_9       0.03 -0.02 -0.07 -0.08 -0.02 -0.03  0.05 -0.11  0.10  0.15 0.062
narc_10      0.13 -0.06  0.36 -0.03  0.04  0.09 -0.12  0.19 -0.04 -0.06 0.218
narc_11      0.10  0.00  0.04 -0.10 -0.08 -0.16 -0.10  0.14  0.00  0.10 0.092
narc_12      0.03  0.13 -0.12 -0.04 -0.15 -0.07  0.04  0.16  0.26  0.17 0.184
narc_13      0.10 -0.06  0.23 -0.06  0.20 -0.05  0.05  0.17 -0.10 -0.15 0.174
narc_14      0.04 -0.01 -0.14 -0.03 -0.07 -0.02  0.17  0.13  0.12  0.22 0.139
sc.now_1R   -0.06 -0.21  0.06  0.31 -0.12  0.08 -0.19  0.03  0.39  0.09 0.367
sc.now_4     0.25  0.17  0.43 -0.08  0.00  0.16  0.14 -0.05 -0.31 -0.04 0.428
sc.now_5R   -0.08 -0.07 -0.15  0.11 -0.13 -0.02 -0.31  0.08  0.61  0.22 0.583
sc.now_6R    0.07 -0.06 -0.01  0.19 -0.03  0.10 -0.05  0.06  0.60  0.12 0.432
sc.now_7R   -0.11 -0.12 -0.04  0.40  0.00 -0.01 -0.19 -0.01  0.48 -0.07 0.461
sc.now_8     0.32  0.10  0.01 -0.11 -0.02  0.05  0.39 -0.06 -0.34 -0.06 0.405
sc.now_9R   -0.06 -0.06 -0.09  0.07 -0.06 -0.11 -0.11  0.11  0.66 -0.15 0.517
sc.now_10R  -0.12  0.01 -0.14  0.15 -0.07 -0.09 -0.21  0.01  0.67 -0.04 0.563
              u2 com
val_1       0.55 2.1
val_2       0.74 4.9
val_3       0.90 3.2
val_4       0.63 1.8
val_5       0.67 2.5
val_6       0.69 4.6
val_7       0.70 1.8
val_8       0.79 5.5
val_9       0.71 3.3
val_10      0.64 3.7
val_11      0.79 4.1
val_12      0.82 4.9
val_13      0.68 1.8
val_14      0.76 4.4
val_15      0.49 4.5
val_16      0.64 1.9
val_17      0.65 1.6
val_18      0.93 2.4
val_19      0.80 3.6
val_20      0.84 4.4
val_21      0.52 3.5
uh_1        0.42 1.7
uh_2        0.46 1.7
uh_3        0.40 2.1
uh_4        0.50 1.4
uh_5        0.57 1.8
uh_6        0.45 1.4
uh_7        0.67 1.9
uh_8        0.66 2.0
uh_9        0.48 1.4
uh_10       0.70 2.5
uh_11       0.46 1.3
uh_12       0.57 1.7
uh_13       0.58 4.1
uh_14       0.50 1.5
uh_15       0.62 3.0
uh_16       0.59 4.2
uh_17       0.45 1.1
uh_18       0.43 1.3
uh_19       0.58 2.8
uh_20       0.39 1.2
ili_1       0.50 2.0
ili_2       0.60 2.1
ili_3       0.46 1.7
ili_4       0.46 2.0
ili_5       0.43 1.7
ili_6       0.64 2.1
ili_7       0.30 1.5
ili_8       0.48 1.9
ili_9       0.45 1.9
ili_10      0.51 1.7
ili_11      0.55 1.6
ili_12      0.47 1.6
ili_13      0.39 1.5
ili_14      0.55 2.0
ili_15      0.61 1.2
bfi_1       0.49 2.2
bfi_2R      0.46 1.6
bfi_3       0.52 4.6
bfi_4       0.45 3.9
bfi_5       0.45 3.4
bfi_6R      0.54 1.5
bfi_7       0.58 3.1
bfi_8R      0.50 1.5
bfi_9R      0.51 6.2
bfi_10      0.63 4.3
bfi_11      0.49 3.3
bfi_12R     0.52 1.7
bfi_13      0.57 3.1
bfi_14      0.68 4.4
bfi_15      0.59 4.6
bfi_16      0.42 2.9
bfi_17      0.60 2.4
bfi_18R     0.57 2.3
bfi_19      0.58 5.7
bfi_20      0.66 2.7
bfi_21R     0.37 1.6
bfi_22      0.69 3.0
bfi_23R     0.57 2.0
bfi_24R     0.53 6.0
bfi_25      0.41 2.1
bfi_26      0.55 5.3
bfi_27R     0.70 2.9
bfi_28      0.64 4.2
bfi_29      0.44 3.6
bfi_30      0.60 1.7
bfi_31R     0.53 2.2
bfi_32      0.55 2.3
bfi_33      0.51 3.6
bfi_34R     0.57 3.9
bfi_35R     0.65 1.3
bfi_36      0.39 1.7
bfi_37R     0.49 1.4
bfi_38      0.60 3.2
bfi_39      0.58 5.1
bfi_40      0.64 3.4
bfi_41R     0.77 2.9
bfi_42      0.56 6.6
bfi_43R     0.47 1.2
bfi_44      0.65 1.7
ffmq_1      0.76 2.3
ffmq_2      0.57 4.3
ffmq_3R     0.60 1.2
ffmq_4R     0.67 3.8
ffmq_5      0.62 3.7
ffmq_6      0.69 4.3
ffmq_7R     0.71 5.4
ffmq_8R     0.85 4.5
ffmq_9R     0.66 3.6
ffmq_10     0.85 2.9
ffmq_11     0.72 3.0
