"uh","ili","ffmq","grt","auth","tfl","dis","leadChal","sc.hw","uh.vmi"
3.5,5.66666666666667,2.58333333333333,3,6,5.46666666666667,5.6,6.23076923076923,4,4.88888888888889
4.85,5.53333333333333,1.83333333333333,2.625,4.92857142857143,5.06666666666667,4.2,4.61538461538461,4,5.77777777777778
3.85,5.86666666666667,2.08333333333333,3.375,4.78571428571429,5.6,4.4,4.30769230769231,4,4.11111111111111
5.5,6.4,2.08333333333333,3,6.28571428571429,5.4,1.6,5.38461538461539,4,6.33333333333333
7.05,6.66666666666667,2.25,4.25,5.71428571428571,5.8,1.8,6,4,7
4.7,5.26666666666667,1.75,3.875,4.28571428571429,5.73333333333333,6.2,5.23076923076923,4,6
4.05,6,2.41666666666667,3.625,6.14285714285714,5.4,2.2,6,4,5.66666666666667
4.55,5.4,2.75,3.625,5.5,5.2,4.6,4.46153846153846,4,5.88888888888889
3.95,4.93333333333333,2.08333333333333,3.25,5,5,3.6,4.69230769230769,4,4.88888888888889
4.4,6.33333333333333,2.58333333333333,3.625,5.71428571428571,6,5.2,5.69230769230769,4,5.77777777777778
6.65,5.93333333333333,2.5,2.25,5,5.33333333333333,3,6.76923076923077,4,7.88888888888889
4.95,7,2.5,3.375,6,6.33333333333333,1.4,6.38461538461539,4,5.55555555555556
5.9,6.26666666666667,2.25,3,6,5.66666666666667,3.8,5.38461538461539,4,7
3.7,6.13333333333333,2.25,3.625,4.35714285714286,4.46666666666667,5.2,5.30769230769231,4,5.44444444444444
4.7,5.86666666666667,2.08333333333333,3.25,4.85714285714286,5.53333333333333,5,4.84615384615385,4,6.22222222222222
4,6.26666666666667,2.08333333333333,3.5,5.28571428571429,5.66666666666667,3,5.53846153846154,4,8
4.75,6.4,2.25,3.75,5.57142857142857,5.73333333333333,1.2,5.30769230769231,4,6.11111111111111
4.55,5.93333333333333,2.25,3.75,5,5.6,2.4,5.69230769230769,4,5.66666666666667
6.75,5.66666666666667,2.91666666666667,3.5,5.35714285714286,5.06666666666667,4.8,5.30769230769231,4,7.44444444444444
4.35,6,2.66666666666667,3.875,6.07142857142857,5.93333333333333,3.6,5.23076923076923,4,5.66666666666667
7.35,7,3,3.875,6.71428571428571,7,3,6.92307692307692,4,7.44444444444444
3.3,5.66666666666667,2.33333333333333,3.375,6,5.46666666666667,4.8,5.76923076923077,4,6
4.35,5.66666666666667,1.75,3,5.28571428571429,4.8,5.6,4.61538461538461,4,7.22222222222222
5.85,5.86666666666667,2.16666666666667,3.125,6,6.2,2.4,5,4,6.77777777777778
4.15,5.4,1.25,2.75,5.07142857142857,5.6,3,4.46153846153846,4,7.66666666666667
6.85,6.33333333333333,2.58333333333333,3.625,5.42857142857143,5.13333333333333,4,3.76923076923077,4,6.44444444444444
3.8,5.73333333333333,2,2.5,5.85714285714286,5.73333333333333,3.4,5.15384615384615,4,4.11111111111111
5.4,6.06666666666667,2.66666666666667,4.25,5.57142857142857,5.4,1.8,5.84615384615385,4,6.22222222222222
6.15,6.86666666666667,3.33333333333333,4.25,6.57142857142857,6.33333333333333,1.8,6.23076923076923,4,7.22222222222222
4.25,6.6,2.16666666666667,4,5.28571428571429,5.13333333333333,6.8,6,4,4.22222222222222
4.9,5.93333333333333,2.75,2.125,5.71428571428571,5.13333333333333,5,5.15384615384615,4,5.11111111111111
4,5.46666666666667,1,3.875,4.14285714285714,4.73333333333333,2,5.46153846153846,4,3.44444444444444
5.85,5.8,3.08333333333333,4,5.85714285714286,5.4,1.4,5.92307692307692,4,7
4.35,6,2.16666666666667,3,6,5.73333333333333,2.6,7,4,8
