"uh","ili","ffmq","grt","auth","tfl","dis","leadChal","sc.hw","uh.vmi","mt","lnr","har"
3.96,5.06666666666667,2.75,2.875,5.21428571428571,5.66666666666667,3.2,4.76923076923077,4.5,4.22222222222222,3.875,2.625,2.8
3.8,5.4,2.75,4.25,5.5,5.8,4,5.92307692307692,5.75,3.88888888888889,4.875,3.5,3.26666666666667
3.52,5.8,1.66666666666667,3,5.64285714285714,6.06666666666667,3.6,5.69230769230769,5.625,2.44444444444444,4,3,2.93333333333333
3.16,4.66666666666667,2.08333333333333,3.625,4.35714285714286,4.86666666666667,4,4.61538461538461,5.625,3,3.75,3,2.93333333333333
3,5.86666666666667,2,3.625,5.28571428571429,5.6,3,5.92307692307692,6.125,3,4.625,2.5,2.93333333333333
2.84,5.53333333333333,1.58333333333333,4.25,5,4.93333333333333,3.2,5,4.5,3.22222222222222,4.375,3.375,3.26666666666667
3.04,4.8,1.41666666666667,3,4.85714285714286,4.46666666666667,5.8,4.76923076923077,4.625,3.33333333333333,3.375,1.625,1.86666666666667
3.52,5.33333333333333,2.25,4.125,5.35714285714286,4.8,3,4.61538461538461,5.625,4.22222222222222,3.75,3,3.13333333333333
3.44,5.73333333333333,2.33333333333333,3.625,5.14285714285714,5.13333333333333,3.8,5.53846153846154,5.5,3.77777777777778,3.75,3.125,2.86666666666667
3.44,6.53333333333333,2.41666666666667,4.25,6.21428571428571,6.46666666666667,3.6,6.38461538461539,6,3.11111111111111,4,2.875,3.13333333333333
3.64,5.66666666666667,1.5,3.75,5.57142857142857,5.33333333333333,5,5.53846153846154,5.75,3.55555555555556,3.625,2.125,2.73333333333333
3.8,6.2,2.33333333333333,3.5,6,5.73333333333333,4.4,6.07692307692308,6.375,4.33333333333333,4.25,3.125,2.86666666666667
3.68,5.8,2.41666666666667,2.875,5.92857142857143,5.66666666666667,4.2,5.92307692307692,4.5,3.33333333333333,4,3.25,2.93333333333333
3.4,4.8,2.08333333333333,2.875,4.5,5.2,4.2,4.53846153846154,4.625,3.33333333333333,3.625,2.875,2.53333333333333
3.08,5.46666666666667,1.66666666666667,2.75,5,5.33333333333333,4.2,5.15384615384615,5.125,3.22222222222222,2.875,2.75,2.73333333333333
2.24,6,2.25,3.5,5.85714285714286,5.8,4,6,4.75,2.44444444444444,4.25,3.125,2.8
2.16,6.13333333333333,1.75,3.625,6,6,4.4,6.30769230769231,4.25,2.55555555555556,3.625,3,2.93333333333333
4.4,6.93333333333333,3.08333333333333,4.125,6.42857142857143,6.86666666666667,2.8,6.92307692307692,5.875,4.88888888888889,5,3.25,3.2
3.32,4.86666666666667,1.91666666666667,4.25,4.85714285714286,4.8,3,4.76923076923077,5.125,4,4,2.75,2.53333333333333
3.72,5.06666666666667,2,4.25,5.64285714285714,5.26666666666667,3.4,6.53846153846154,5.875,4.66666666666667,4.125,3,3.13333333333333
3.4,4.6,2.5,3.25,5.57142857142857,4.6,3.8,5,4.25,3.77777777777778,3.5,2.875,2.86666666666667
3.68,5.13333333333333,1.5,3,5.71428571428571,6,4.2,5.61538461538461,4.75,4.22222222222222,3.875,2.875,2.8
